Date,Open,High,Low,Close,Volume
2020-01-02,149.80820704914478,151.64802030530632,149.3836369741226,151.5442352294922,22622100
2020-01-03,149.3742503968611,150.91213864205648,149.1289322940356,149.65728759765625,21116200
2020-01-06,148.20426936424013,150.11013423451627,147.66647003884313,150.04408264160156,20813700
2020-01-07,150.31771277402052,150.64792756722025,148.4307217388253,148.676025390625,21634100
2020-01-08,149.949776674837,151.71412356453547,149.0251548459884,151.0442352294922,27746500
2020-01-09,152.69529374996068,153.053826612791,151.9310647710623,152.93116760253906,21385000
2020-01-10,153.61997098497042,153.9973634920825,152.07262427464744,152.2235870361328,20725900
2020-01-13,152.61988313499708,154.0823045781937,152.1481352111662,154.0540008544922,21626500
2020-01-14,154.15774765402992,154.3558880672922,152.5821117076889,152.9689483642578,23477400
2020-01-15,153.4312851488826,154.67670653765384,153.384121875317,153.9596405029297,21417900
2020-01-16,155.06351557217135,156.8467217717717,154.7615900543168,156.78067016601562,23865400
2020-01-17,157.96006852492908,158.00724619527017,156.08250665954205,157.6581573486328,34371700
2020-01-21,157.26187861407058,158.68656653645183,157.0260046557006,157.09205627441406,29517200
2020-01-22,157.94117430658434,158.02609986094006,156.3183605520355,156.3372344970703,24138800
2020-01-23,156.79955474739776,157.3750877078265,155.93154041958098,157.2996063232422,19680800
2020-01-24,158.04494334885658,158.06381729197344,155.15784910579725,155.71450805664062,24918100
2020-01-27,152.04433408904563,154.14833997343501,151.14801600742726,153.11048889160156,32078100
2020-01-28,154.52571391469783,156.39383124054007,153.85584007609117,156.1107940673828,24899900
2020-01-29,158.3562714423913,159.21485574931927,156.32776200185393,158.5449676513672,34754500
2020-01-30,164.21544030441976,164.21544030441976,161.1396349055562,163.01719665527344,51597500
2020-01-31,162.4793526106027,162.6586046472584,159.99795504912353,160.61122131347656,36142700
2020-02-03,160.79995976933012,164.63999404803988,160.77165605102132,164.5267791748047,30107000
2020-02-04,167.13084564989816,170.43308095412178,166.34774240730417,169.9424591064453,36433300
2020-02-05,173.6314737413291,173.79186624691567,168.32903369846085,169.73483276367188,39186300
2020-02-06,170.7444028199159,173.4333710847966,169.88581835396727,173.2541046142578,27751400
2020-02-07,172.51820616498347,175.141123236551,172.1691029426966,173.4994354248047,33529100
2020-02-10,173.20690531169305,178.16968645015277,172.89555006965108,178.03759765625,35844300
2020-02-11,179.87740947996318,179.9245871338013,173.13142248247357,174.018310546875,53159900
2020-02-12,175.0939384809837,175.3486863579393,171.5747034556138,174.27310180664062,47062900
2020-02-13,172.73519819186575,175.70720395202792,172.53705775610726,173.32960510253906,35295800
2020-02-14,172.89559109097496,174.93354530608588,172.32948789902122,174.87693786621094,23149500
2020-02-18,175.12219199408864,177.0940940400316,175.01840691816543,176.65065002441406,27792200
2020-02-19,177.91844709809394,178.03197121372997,176.4141948222158,177.18051147460938,29997500
2020-02-20,176.86834070596387,177.15216548712084,171.33382243507927,174.4747772216797,36862400
2020-02-21,173.29215209549287,173.60435785009562,167.6914028824493,168.95913696289062,48572600
2020-02-24,158.7226349755328,165.13700729463477,154.42745645308867,161.67437744140625,68311100
2020-02-25,164.80585480979238,165.41134073594938,158.60907598738845,159.00643920898438,68073300
2020-02-26,160.5579787737206,163.9165247766763,159.13886994906164,160.9931640625,56206100
2020-02-27,154.51260805417675,158.02252986335748,149.46056861111845,149.6497802734375,93174900
2020-02-28,144.19096386419696,154.88158975850237,143.80307053825447,153.27325439453125,97012700
2020-03-02,156.39527365057177,163.5948873794093,153.5570555882588,163.47189331054688,71030800
2020-03-03,164.42741969774957,165.56270392318126,153.50973388064168,155.63839721679688,71677000
2020-03-04,159.40378432160293,161.49459677203134,156.6885460281868,161.35269165039062,49814400
2020-03-05,157.09536018483988,161.6554226701789,156.75477346692026,157.30349731445312,47817300
2020-03-06,153.84085795286106,154.3138942279223,147.58731781911428,152.85694885253906,72821100
2020-03-09,142.85696399322785,149.24295410550792,141.9108913840012,142.49745178222656,70419300
2020-03-10,149.63084915826624,152.34607296024774,144.35176220231784,152.24200439453125,65354400
2020-03-11,148.6564082651572,149.19566219854573,142.99888311407793,145.34515380859375,56371600
2020-03-12,137.46436615258762,145.19377837676913,131.1067564557763,131.5608673095703,93226400
2020-03-13,139.5457337596405,153.1786458580009,133.14081705620686,150.26473999023438,92727400
2020-03-16,132.45020301671514,141.29599020684492,127.71983862326103,128.1171875,87905900
2020-03-17,132.45015934434994,139.54570359494014,127.71979651062317,138.66586303710938,81059800
2020-03-18,130.55802937295286,138.12661078587766,127.73873683869692,132.82859802246094,81593200
2020-03-19,135.07081540201364,142.0528227308985,131.50411696458423,135.01405334472656,85922700
2020-03-20,138.12660739420775,139.16729308730046,128.53343126632095,129.94308471679688,84866200
2020-03-23,129.62141109096703,132.98944191639754,125.37355404915603,128.64695739746094,78975200
2020-03-24,135.99795327111457,141.53248444816953,133.65169697152206,140.34042358398438,82516700
2020-03-25,140.87966835078421,146.00737989282055,136.650722853414,138.99697875976562,75638200
2020-03-26,140.3971505448925,148.21171848467063,140.36876952530807,147.69137573242188,64568100
2020-03-27,143.56652704755473,146.53719464098646,141.1540388623716,141.6270751953125,57042300
2020-03-30,144.21931847637944,151.93927483997578,141.92035440787237,151.58921813964844,63420300
2020-03-31,150.80398997511287,155.89386596934028,148.11714684043403,149.20513916015625,77927200
2020-04-01,144.7491545772204,149.24300087945437,142.68672257196636,143.9071502685547,57969900
2020-04-02,143.67059624516327,147.0953746911042,142.2514872401482,146.88723754882812,49630700
2020-04-03,146.73586375961153,148.8929080992984,143.98278907166946,145.5343475341797,41243300
2020-04-06,151.674380216992,157.52110249756834,149.08213585583528,156.35743713378906,67111700
2020-04-07,160.4444503945996,160.83234362915013,154.45580904362706,154.6734161376953,62769000
2020-04-08,156.735863755087,157.68193646280352,154.68288771165297,156.22499084472656,48318200
