Date,Open,High,Low,Close,Volume
2020-01-02,66.82792341596551,67.83251190185547,66.73276652225083,67.83251190185547,27278000
2020-01-03,66.80759262369992,68.0837746951453,66.77388729056945,67.47764587402344,23408000
2020-01-06,66.98750339759994,69.3014879316115,66.95628606830468,69.27621459960938,46768000
2020-01-07,69.40754568235849,69.55821012407621,68.96645724727993,69.14239501953125,34330000
2020-01-08,69.12802647532469,69.97204388362319,69.01949180178964,69.63453674316406,35314000
2020-01-09,70.47160903192002,70.80614415984961,69.89076100637546,70.36555480957031,33200000
2020-01-10,70.84530347811571,71.11639816188107,70.3561412229082,70.82002258300781,26258000
2020-01-13,71.1317546271615,71.44051730380278,70.64210083819175,71.36865997314453,30730000
2020-01-14,71.36717972292722,71.49752418899935,70.76105073127331,70.90081787109375,26076000
2020-01-15,71.02123244514802,71.4058226461428,70.95382933712798,71.3275146484375,21550000
2020-01-16,71.63727803469492,71.89747539401914,71.3671740127522,71.87071228027344,26080000
2020-01-17,72.48426869061286,73.3768514456116,72.18740154979925,73.3258056640625,52424000
2020-01-21,73.30003517222072,73.83926013588128,72.8643991173482,73.46111297607422,48930000
2020-01-22,73.831821043348,74.36954862534002,73.48142768998797,73.54138946533203,28458000
2020-01-23,73.72377971062164,74.01866551266389,73.36545345637307,73.58203125,26650000
2020-01-24,73.98496196506716,74.0533557502206,72.51598536486014,72.66417694091797,29786000
2020-01-27,70.94789842652807,71.19768245755475,70.35118456784836,70.95731353759766,34132000
2020-01-28,71.45341176845339,72.10067230733206,70.88941257474418,71.88756561279297,29724000
2020-01-29,72.2820558505161,72.56356386926777,71.63430381972567,72.19483184814453,21566000
2020-01-30,71.2729971212912,72.12295839747925,71.11936068796703,72.07340240478516,27110000
2020-01-31,72.74793528121658,72.83763974165787,70.72586425069801,71.00935363769531,43822000
2020-02-03,72.4401606618482,73.66183373200143,72.19037662681714,73.47845458984375,71636000
2020-02-04,72.08530406404785,72.7221511823301,70.47656803193662,71.63529205322266,95880000
2020-02-05,72.53728878225081,72.58536256030895,70.85570477873623,71.66700744628906,36376000
2020-02-06,71.96090591264428,73.42691043576079,71.88656813376596,73.14986419677734,37822000
2020-02-07,72.72462536770595,73.60977419551057,72.62649648623446,73.30547332763672,28360000
2020-02-10,73.21230643210724,74.78089390340634,73.11169710268464,74.76998901367188,38302000
2020-02-11,74.99846724762173,75.82167304144915,74.61090502112194,74.8393783569336,34852000
2020-02-12,75.12683532807398,75.34688423463207,74.7704979689078,75.26412200927734,31042000
2020-02-13,74.8364125860934,75.62690377435739,74.5390463323393,75.00442504882812,22914000
2020-02-14,75.06091253402924,75.33448763337121,74.61585388336378,75.2690658569336,23198000
2020-02-18,75.05150424505347,75.85537316720415,74.8864637897621,75.30426025390625,25642000
2020-02-19,75.68884877939992,75.86429500722407,75.38058521971043,75.57337188720703,22746000
2020-02-20,75.2829486635649,75.68240645418584,74.55192774826135,75.1828384399414,25962000
2020-02-21,74.56779071017739,74.8834956332235,73.27475947782071,73.52107238769531,42520000
2020-02-24,70.52711678476247,71.1877625983734,69.72126652670165,70.3690185546875,49560000
2020-02-25,70.92113799695146,71.21106293016649,68.4143664703446,68.70677185058594,51580000
2020-02-26,69.13596510821695,70.0622532674359,68.22256317384887,68.91244506835938,49776000
2020-02-27,67.3597075582135,67.86819914105875,65.13443677157909,65.16962432861328,62290000
2020-02-28,63.15548440926263,66.53253692106605,62.85316484722115,66.37394714355469,80198000
2020-03-02,66.97562400936349,68.76376163348303,65.67763179244827,68.70677185058594,55430000
2020-03-03,69.26978521815887,69.79066400531799,65.87785685894856,66.29813385009766,56602000
2020-03-04,67.35077754870201,68.5313112774351,66.26242870695833,68.47283172607422,47598000
2020-03-05,66.68617596648993,67.08663199651346,64.50997717418309,65.16020965576172,54380000
2020-03-06,62.93940759811256,64.5649888842822,62.30800530544465,64.21757507324219,64640000
2020-03-09,59.71846256922305,62.08596950725931,59.37550300597867,60.25520324707031,69252000
2020-03-10,62.168246803240756,63.23181404799084,60.191769215403774,63.19811248779297,54872000
2020-03-11,61.864928567207265,62.29412145420184,59.03353279180073,60.012847900390625,54732000
2020-03-12,55.637652241074605,58.91509013760297,54.93637016761017,55.08901596069336,94326000
2020-03-13,58.233139516247576,60.186321347096765,55.12569152214793,60.17987823486328,79400000
2020-03-16,54.00165359735801,56.77010434529723,52.885055565048226,53.1784553527832,96520000
